titleId,title,source
BCAS20240,Meruru no Atelier: Arland no Renkinjutsushi 3,gametdb
BCAS20242,Brave: The Video Game,gametdb
BCAS20243,Lollipop Chainsaw,gametdb
BCAS20244,Chou Jigen Game Neptune mk2,gametdb
BCAS20245,AquaPazza: AquaPlus Dream Match,gametdb
BCAS20246,The Ratchet &amp; Clank Trilogy: Classics HD,gametdb
BCAS20248,Tales of Vesperia (PlayStation 3 the Best),gametdb
BCAS20249,Damage Inc.: Pacific Squadron WWII,gametdb
BCAS20250,Sleeping Dogs,gametdb
BCAS20251,Persona 4: The Ultimate in Mayonaka Arena,gametdb
BCAS20252,Kami Jigen Game Neptune V,gametdb
BCAS20253,PlayStation All-Stars Battle Royale,gametdb
BCAS20254,Sports Champions 2,gametdb
BCAS20255,Sleeping Dogs,gametdb
BCAS20258,Muv-Luv,gametdb
BCAS20259,Toy Story Mania,gametdb
BCAS20261,Dream C Club: Complete Edipyon!,gametdb
BCAS20266,Kamisama to Unmei Kakumei no Paradox,gametdb
BCAS20267,Gran Turismo 5: 2013 Edition,gametdb
BCAS20268,Dream C Club Zero: Special Edipyon!,gametdb
BCAS20272,Tomb Raider,gametdb
BCAS20273,Kingdom Hearts HD 1.5 ReMIX,gametdb
BCAS20274,Disgaea D2,gametdb
BCAS20275,MLB 13: The Show,gametdb
BCAS20276,Everybody's Golf 6,gametdb
BCAS20277,Attouteki Yuugi: Mugen Souls Z,gametdb
BCAS20278,Best of PlayStation Network Vol. 1,gametdb
BCAS20279,Lightning Returns: Final Fantasy XIII,gametdb
BCAS20280,Z/X: Zillions of enemy X - Zekkai no Crusade,gametdb
BCAS20281,Puppeteer,gametdb
BCAS20283,Final Fantasy XIII-2,gametdb
BCAS20284,XBLAZE Code: Embryo,gametdb
BCAS20285,Time and Eternity,gametdb
BCAS20289,Final Fantasy X,gametdb
BCAS20290,Dragon's Crown,gametdb
BCAS20291,Killer is Dead (Premium Edition),gametdb
BCAS20292,Killer is Dead,gametdb
BCAS20294,Arcadias no Ikusahime,gametdb
BCAS20295,Diablo III,gametdb
BCAS20296,Kingdom Hearts HD 1.5 ReMIX,gametdb
BCAS20297,Fairy Fencer F,gametdb
BCAS20298,Dragon's Crown,gametdb
BCAS20299,Drag-On Dragoon 3,gametdb
BCAS20301,Disgaea D2: A Brighter Darkness,gametdb
BCAS20302,Disgaea D2: A Brighter Darkness,gametdb
BCAS20303,BlazBlue: Chrono Phantasma,gametdb
BCAS20304,Akiba's Trip 2,gametdb
BCAS20308,Lightning Returns: Final Fantasy XIII,gametdb
BCAS20309,Final Fantasy X / X-2 HD Remaster,gametdb
BCAS20310,Akiba's Trip 2,gametdb
BCAS20311,Drag-on Dragoon 3,gametdb
BCAS20312,Lightning Returns: Final Fantasy XIII,gametdb
BCAS20315,Final Fantasy X / X-2 HD Remaster (English Version),gametdb
BCAS20316,Natural Doctrine,gametdb
BCAS20317,Ragnarok Odyssey ACE,gametdb
BCAS20318,Drakengard 3,gametdb
BCAS20319,Lost in the Rain,gametdb
BCAS20320,MLB 14: The Show,gametdb
BCAS20322,LittleBigPlanet 3,gametdb
BCAS20325,Diablo III: Reaper of Souls (Ultimate Evil Edition),gametdb
BCAS20327,Akiba's Trip: Undead &amp; Undressed,gametdb
BCAS20328,Kamisama to Unmei Kakusei no Cross Thesis,gametdb
BCAS20330,Kingdom Hearts HD 1.5 + 2.5 ReMIX (Limited Edition),gametdb
BCAS20333,The Evil Within,gametdb
BCAS20336,Natural Doctrine,gametdb
BCAS20338,Guilty Gear Xrd -SIGN-,gametdb
BCAS20519,Gran Turismo 6 (Anniversary Edition),gametdb
BCAS20520,Gran Turismo 6 (Anniversary Edition),gametdb
BCAS20521,Gran Turismo 6 (Collector's Edition),gametdb
BCAS25001,Final Fantasy XIII,gametdb
BCAS25002,Final Fantasy XIII (PS3 Lightning Edition),gametdb
BCAS25003,God of War III,gametdb
BCAS25004,Final Fantasy XIII,gametdb
BCAS25005,Final Fantasy XIII,gametdb
BCAS25006,Heavy Rain (Move Edition),gametdb
BCAS25007,God of War III (PlayStation 3 the Best),gametdb
BCAS25008,Killzone 3,gametdb
BCAS25009,Uncharted 3: Drake's Deception,gametdb
BCAS25011,Final Fantasy XIII (Ultimate Hits),gametdb
BCAS25012,Resistance 3,gametdb
BCAS25014,Uncharted 3: Drake's Deception: Game of the Year Edition,gametdb
BCAS25015,The Last of Us,gametdb
